code,name,board_type,subtype,source,cid,updated_at
BK1456,其他家电Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1455,家电零部件Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1454,其他黑色家电,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1453,彩电,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1452,卫浴电器,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1451,厨房电器,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1450,空调,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1449,冰洗,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1448,横向通用软件,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1447,垂直应用软件,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1446,其他计算机设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1445,安防设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1444,IT服务Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1443,橡胶助剂,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1442,炭黑,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1441,其他橡胶制品,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1440,其他塑料制品,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1439,膜材料,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1438,合成树脂,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1437,改性塑料,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1436,农药,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1435,磷肥及磷化工,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1434,钾肥,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1433,复合肥,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1432,氮肥,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1431,有机硅,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1430,涂料油墨,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1429,食品及饲料添加剂,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1428,其他化学制品,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1427,民爆制品,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1426,聚氨酯,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1425,胶黏剂及胶带,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1424,氟化工,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1423,纺织化学制品,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1422,无机盐,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1421,钛白粉,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1420,其他化学原料,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1419,煤化工,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1418,氯碱,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1417,纯碱,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1416,粘胶,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1415,其他化学纤维,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1414,锦纶,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1413,涤纶,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1412,氨纶,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1411,非金属材料Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1410,其他自动化设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1409,激光设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1408,机器人,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1407,工控设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1406,印刷包装机械,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1405,其他专用设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1404,农用机械,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1403,能源及重型设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1402,楼宇设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1401,纺织服装设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1400,制冷空调设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1398,其他通用设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1397,磨具磨料,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1396,金属制品,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1395,机床工具,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1394,轨交设备Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
